,ROB,IQ,WIDTH,IPC
1331,128,1,2,0.99930049
1332,128,1,3,0.99930049
1333,128,1,4,0.99930049
1334,128,1,5,0.99930049
1335,128,1,6,0.99930049
1336,128,1,7,0.99930049
1337,128,1,8,0.99930049
1338,128,1,9,0.99930049
1339,128,1,10,0.99930049
1340,128,1,11,0.99930049
1341,128,1,12,0.99930049
1342,128,1,13,0.99930049
1343,128,1,14,0.99930049
1344,128,1,15,0.99930049
1345,128,1,16,0.99930049
1346,128,1,17,0.99930049
1347,128,1,18,0.99930049
1348,128,1,19,0.99930049
1311,64,512,1,0.998901209
1312,64,512,2,1.993620415
1313,64,512,3,2.984183826
1314,64,512,4,3.966679889
1315,64,512,5,4.752851711
1316,64,512,6,5.15995872
1317,64,512,7,5.330490405
1318,64,512,8,5.42888165
1319,64,512,9,5.530973451
1320,64,512,10,5.567928731
1321,64,512,11,5.605381166
1322,64,512,12,5.599104143
1323,64,512,13,5.640157924
1324,64,512,14,5.627462015
1325,64,512,15,5.656108597
1326,64,512,16,5.678591709
1327,64,512,17,5.656108597
1328,64,512,18,5.678591709
1329,64,512,19,5.675368899
1292,64,256,1,0.998901209
1293,64,256,2,1.993620415
1294,64,256,3,2.984183826
1295,64,256,4,3.966679889
1296,64,256,5,4.752851711
1297,64,256,6,5.15995872
1298,64,256,7,5.330490405
1299,64,256,8,5.42888165
1300,64,256,9,5.530973451
1301,64,256,10,5.567928731
1302,64,256,11,5.605381166
1303,64,256,12,5.599104143
1304,64,256,13,5.640157924
1305,64,256,14,5.627462015
1306,64,256,15,5.656108597
1307,64,256,16,5.678591709
1308,64,256,17,5.656108597
1309,64,256,18,5.678591709
1310,64,256,19,5.675368899
1273,64,128,1,0.998901209
1274,64,128,2,1.993620415
1275,64,128,3,2.984183826
1276,64,128,4,3.966679889
1277,64,128,5,4.752851711
1278,64,128,6,5.15995872
1279,64,128,7,5.330490405
1280,64,128,8,5.42888165
1281,64,128,9,5.530973451
1282,64,128,10,5.567928731
1283,64,128,11,5.605381166
1284,64,128,12,5.599104143
1285,64,128,13,5.640157924
1286,64,128,14,5.627462015
1287,64,128,15,5.656108597
1288,64,128,16,5.678591709
1289,64,128,17,5.656108597
1290,64,128,18,5.678591709
1291,64,128,19,5.675368899
1254,64,64,1,0.998901209
1255,64,64,2,1.993620415
1256,64,64,3,2.984183826
1257,64,64,4,3.966679889
1258,64,64,5,4.752851711
1259,64,64,6,5.15995872
1260,64,64,7,5.330490405
1261,64,64,8,5.42888165
1262,64,64,9,5.530973451
1263,64,64,10,5.567928731
1264,64,64,11,5.605381166
1265,64,64,12,5.599104143
1266,64,64,13,5.640157924
1267,64,64,14,5.627462015
1268,64,64,15,5.656108597
1269,64,64,16,5.678591709
1270,64,64,17,5.656108597
1271,64,64,18,5.678591709
1272,64,64,19,5.675368899
1235,64,32,1,0.998901209
1236,64,32,2,1.993620415
1237,64,32,3,2.984183826
1238,64,32,4,3.966679889
1239,64,32,5,4.752851711
1240,64,32,6,5.15995872
1241,64,32,7,5.330490405
1242,64,32,8,5.42888165
1243,64,32,9,5.530973451
1244,64,32,10,5.567928731
1245,64,32,11,5.605381166
1246,64,32,12,5.599104143
1247,64,32,13,5.640157924
1248,64,32,14,5.627462015
1249,64,32,15,5.656108597
1250,64,32,16,5.678591709
1251,64,32,17,5.656108597
1252,64,32,18,5.678591709
1253,64,32,19,5.675368899
1216,64,16,1,0.998901209
1217,64,16,2,1.993620415
1218,64,16,3,2.984183826
1219,64,16,4,3.963535474
1220,64,16,5,4.752851711
1221,64,16,6,5.15995872
1222,64,16,7,5.330490405
